laua,rgn,ctry,ctry_name,surge,m0,m25,f0,f25
N09000003,N99999999,N92000002,Northern Ireland,,364,387,,606
N09000003,N99999999,N92000002,Northern Ireland,,533,478,,81
N09000004,N99999999,N92000002,Northern Ireland,,546,444,,532
E06000001,E12000001,E92000001,England,,599,501,,135
E06000002,E12000001,E92000001,England,,847,1093,,500
E06000003,E12000001,E92000001,England,,738,789,,167
W06000001,W99999999,W92000004,Wales,,354,367,,300
W06000002,W99999999,W92000004,Wales,,654,634,,1125
W06000003,W99999999,W92000004,Wales,,553,588,,1465
W06000004,W99999999,W92000004,Wales,,786,555,,342
W06000005,W99999999,W92000004,Wales,,243,321,,2890
S12000008,S99999999,S92000003,Scotland,,666,635.927,,8678
S12000010,S99999999,S92000003,Scotland,,345,522.194,,498
S12000011,S99999999,S92000003,Scotland,,476,588.65,,990
S12000013,S99999999,S92000003,Scotland,,192,105.11,,438.49
